msgId,name,direction,protoType,bucket,sourceCapture,fixtureCount,avgBytes,handledToday,owner,status
146,,c2s,,desconocido,fixtures/nethook/client_146_0001.bin,2,19,no,,pendiente-analisis
147,,c2s,,desconocido,fixtures/nethook/client_147_0001.bin,6,865,no,,pendiente-analisis
151,,c2s,,desconocido,fixtures/nethook/client_151_0001.bin,56,48,no,,pendiente-analisis
703,,c2s,,desconocido,fixtures/nethook/client_703_0001.bin,15,0,no,,pendiente-analisis
716,,c2s,,desconocido,fixtures/nethook/client_716_0001.bin,1,8,no,,pendiente-analisis
815,,c2s,,desconocido,fixtures/nethook/client_815_0001.bin,5,61,no,,pendiente-analisis
818,,c2s,,desconocido,fixtures/nethook/client_818_0001.bin,1,22,no,,pendiente-analisis
2536,GCRequestStoreSalesData,c2s,CMsgGCGetStoreSalesData,catalogo-global,fixtures/nethook/client_2536_0001.bin,1,4,yes,,builder-existente
2581,ClientToGCLookupAccountName,c2s,CMsgClientToGCLookupAccountName,por-jugador,fixtures/nethook/client_2581_0001.bin,5,6,yes,,builder-existente
2617,ClientToGCCancelUnfinalizedTransactions,c2s,CMsgClientToGCCancelUnfinalizedTransactions,deprecado-vacio,fixtures/nethook/client_2617_0001.bin,1,0,yes,,builder-existente
4006,GCClientHello,c2s,CMsgClientHello,por-jugador,fixtures/nethook/client_4006_0001.bin,2,103,yes,,builder-existente
4523,ClientToGCAggregateMetrics,c2s,CMsgClientToGCAggregateMetrics,deprecado-vacio,fixtures/nethook/client_4523_0001.bin,1,55,yes,,builder-existente
5410,,c2s,,desconocido,fixtures/nethook/client_5410_0001.bin,2,84,no,,pendiente-analisis
5621,,c2s,,desconocido,fixtures/nethook/client_5621_0001.bin,1,37,no,,pendiente-analisis
7009,GCJoinChatChannel,c2s,CMsgDOTAJoinChatChannel,por-jugador,fixtures/nethook/client_7009_0001.bin,2,22,yes,,builder-existente
7038,GCPracticeLobbyCreate,c2s,CMsgPracticeLobbyCreate,por-jugador,fixtures/nethook/client_7038_0001.bin,1,82,yes,,builder-existente
7041,GCPracticeLobbyLaunch,c2s,CMsgPracticeLobbyLaunch,por-jugador,fixtures/nethook/client_7041_0001.bin,1,3,yes,,builder-existente
7047,GCPracticeLobbySetTeamSlot,c2s,CMsgPracticeLobbySetTeamSlot,por-jugador,fixtures/nethook/client_7047_0001.bin,4,4,yes,,builder-existente
7142,GCApplyTeamToPracticeLobby,c2s,,por-jugador,fixtures/nethook/client_7142_0001.bin,1,5,yes,,builder-existente
7197,GCMatchmakingStatsRequest,c2s,CMsgDOTAMatchmakingStatsRequest,catalogo-global,fixtures/nethook/client_7197_0001.bin,5,0,yes,,builder-existente
7346,GCPracticeLobbySetCoach,c2s,,por-jugador,fixtures/nethook/client_7346_0001.bin,1,2,yes,,builder-existente
7378,,c2s,,desconocido,fixtures/nethook/client_7378_0001.bin,1,10,no,,pendiente-analisis
7387,DOTAGetEventPoints,c2s,CMsgDOTAGetEventPoints,por-jugador,fixtures/nethook/client_7387_0001.bin,2,8,yes,,builder-existente
7427,GCNotificationsRequest,c2s,,por-jugador,fixtures/nethook/client_7427_0001.bin,1,0,yes,,builder-existente
7501,,c2s,,desconocido,fixtures/nethook/client_7501_0001.bin,7,266,no,,pendiente-analisis
7503,ClientToGCEmoticonDataRequest,c2s,CMsgClientToGCEmoticonDataRequest,catalogo-global,fixtures/nethook/client_7503_0001.bin,1,0,yes,,builder-existente
7534,ClientToGCGetProfileCard,c2s,CMsgClientToGCGetProfileCard,por-jugador,fixtures/nethook/client_7534_0001.bin,2,6,yes,,builder-existente
7543,ClientToGCGetBattleReportInfo,c2s,CMsgClientToGCGetBattleReportInfo,por-jugador,fixtures/nethook/client_7543_0001.bin,1,6,yes,,builder-existente
8034,ClientToGCGetProfileCardStats,c2s,CMsgClientToGCGetProfileCardStats,por-jugador,fixtures/nethook/client_8034_0001.bin,1,0,yes,,builder-existente
8078,ClientToGCGetQuestProgress,c2s,CMsgClientToGCGetQuestProgress,por-jugador,fixtures/nethook/client_8078_0001.bin,1,0,yes,,builder-existente
8095,ClientToGCLatestConductScorecardRequest,c2s,CMsgClientToGCLatestConductScorecardRequest,por-jugador,fixtures/nethook/client_8095_0001.bin,1,0,yes,,builder-existente
8137,ClientToGCMyTeamInfoRequest,c2s,CMsgClientToGCMyTeamInfoRequest,por-jugador,fixtures/nethook/client_8137_0001.bin,1,0,yes,,builder-existente
8211,DOTAGetPeriodicResource,c2s,,por-jugador,fixtures/nethook/client_8211_0001.bin,1,14,yes,,builder-existente
8673,ClientToGCRequestGuildData,c2s,CMsgClientToGCRequestGuildData,por-jugador,fixtures/nethook/client_8673_0001.bin,3,2,yes,,builder-existente
8676,ClientToGCRequestGuildMembership,c2s,CMsgClientToGCRequestGuildMembership,por-jugador,fixtures/nethook/client_8676_0001.bin,1,0,yes,,builder-existente
8729,ClientToGCRequestAccountGuildPersonaInfoBatch,c2s,CMsgClientToGCRequestAccountGuildPersonaInfoBatch,por-jugador,fixtures/nethook/client_8729_0001.bin,1,149,yes,,builder-existente
8793,ClientToGCGetCurrentPrivateCoachingSession,c2s,CMsgClientToGCGetCurrentPrivateCoachingSession,por-jugador,fixtures/nethook/client_8793_0001.bin,1,0,yes,,builder-existente
8800,ClientToGCGetAvailablePrivateCoachingSessionsSummary,c2s,CMsgClientToGCGetAvailablePrivateCoachingSessionsSummary,por-jugador,fixtures/nethook/client_8800_0001.bin,1,0,yes,,builder-existente
8853,ClientToGCGetHeroStickers,c2s,CMsgClientToGCGetHeroStickers,por-jugador,fixtures/nethook/client_8853_0001.bin,1,0,yes,,builder-existente
8879,ClientToGCRankRequest,c2s,CMsgClientToGCRankRequest,por-jugador,fixtures/nethook/client_8879_0001.bin,3,2,yes,,builder-existente
8886,ClientToGCShowcaseGetUserData,c2s,CMsgClientToGCShowcaseGetUserData,por-jugador,fixtures/nethook/client_8886_0001.bin,2,8,yes,,builder-existente
8903,,c2s,,desconocido,fixtures/nethook/client_8903_0001.bin,1,13,no,,pendiente-analisis
8944,ClientToGCOverworldGetUserData,c2s,CMsgClientToGCOverworldGetUserData,por-jugador,fixtures/nethook/client_8944_0001.bin,1,2,yes,,builder-existente
9023,ClientToGCMonsterHunterGetUserData,c2s,CMsgClientToGCMonsterHunterGetUserData,por-jugador,fixtures/nethook/client_9023_0001.bin,1,0,yes,,builder-existente
9802,,c2s,,desconocido,fixtures/nethook/client_9802_0001.bin,1,4,no,,pendiente-analisis
24,SOCacheSubscribed,s2c,CMsgSOCacheSubscribed,por-jugador,fixtures/nethook/server_24_0001.bin,2,12950,yes,,builder-existente
26,SOCacheUpdated,s2c,CMsgSOMultipleObjects,por-jugador,fixtures/nethook/server_26_0001.bin,7,487,yes,,builder-existente
146,,s2c,,desconocido,fixtures/nethook/server_146_0001.bin,1,61,yes,,builder-existente
147,,s2c,,desconocido,fixtures/nethook/server_147_0001.bin,50,1583,yes,,builder-existente
703,,s2c,,desconocido,fixtures/nethook/server_703_0001.bin,3,0,yes,,builder-existente
766,,s2c,,desconocido,fixtures/nethook/server_766_0001.bin,58,227,yes,,builder-existente
779,,s2c,,desconocido,fixtures/nethook/server_779_0001.bin,1,24,yes,,builder-existente
819,,s2c,,desconocido,fixtures/nethook/server_819_0001.bin,1,13,yes,,builder-existente
822,,s2c,,desconocido,fixtures/nethook/server_822_0001.bin,6,30,yes,,builder-existente
2538,GCRequestStoreSalesDataUpToDateResponse,s2c,,catalogo-global,fixtures/nethook/server_2538_0001.bin,1,8,yes,,builder-existente
2579,GCGenericResult,s2c,CMsgDOTAGenericResult,por-jugador,fixtures/nethook/server_2579_0001.bin,1,2,yes,,builder-existente
2582,ClientToGCLookupAccountNameResponse,s2c,CMsgClientToGCLookupAccountNameResponse,por-jugador,fixtures/nethook/server_2582_0001.bin,5,17,yes,,builder-existente
2618,ClientToGCCancelUnfinalizedTransactionsResponse,s2c,CMsgClientToGCCancelUnfinalizedTransactionsResponse,deprecado-vacio,fixtures/nethook/server_2618_0001.bin,1,2,yes,,builder-existente
4004,GCClientWelcome,s2c,CMsgClientWelcome,por-jugador,fixtures/nethook/server_4004_0001.bin,1,800,yes,,builder-existente
4009,GCClientConnectionStatus,s2c,CMsgConnectionStatus,por-jugador,fixtures/nethook/server_4009_0001.bin,4,3,yes,,builder-existente
5430,,s2c,,desconocido,fixtures/nethook/server_5430_0001.bin,1,8,yes,,builder-existente
5501,,s2c,,desconocido,fixtures/nethook/server_5501_0001.bin,6,78,yes,,builder-existente
5622,,s2c,,desconocido,fixtures/nethook/server_5622_0001.bin,1,174,yes,,builder-existente
7010,GCJoinChatChannelResponse,s2c,CMsgDOTAJoinChatChannelResponse,por-jugador,fixtures/nethook/server_7010_0001.bin,2,56,yes,,builder-existente
7055,GCPracticeLobbyResponse,s2c,CMsgPracticeLobbyJoinResponse,por-jugador,fixtures/nethook/server_7055_0001.bin,6,2,yes,,builder-existente
7198,GCMatchmakingStatsResponse,s2c,CMsgDOTAMatchmakingStatsResponse,catalogo-global,fixtures/nethook/server_7198_0001.bin,5,296,yes,,builder-existente
7273,GCChatMessage,s2c,,por-jugador,fixtures/nethook/server_7273_0001.bin,1,40,yes,,builder-existente
7379,,s2c,,desconocido,fixtures/nethook/server_7379_0001.bin,1,4,yes,,builder-existente
7388,DOTAGetEventPointsResponse,s2c,CMsgDOTAGetEventPointsResponse,por-jugador,fixtures/nethook/server_7388_0001.bin,10,257,yes,,builder-existente
7428,GCNotificationsResponse,s2c,,por-jugador,fixtures/nethook/server_7428_0001.bin,1,4,yes,,builder-existente
7504,GCToClientEmoticonData,s2c,CMsgGCToClientEmoticonData,catalogo-global,fixtures/nethook/server_7504_0001.bin,1,64,yes,,builder-existente
7535,ClientToGCGetProfileCardResponse,s2c,CMsgDOTAProfileCard,por-jugador,fixtures/nethook/server_7535_0001.bin,1,33,yes,,builder-existente
7544,ClientToGCGetBattleReportInfoResponse,s2c,CMsgClientToGCGetBattleReportInfoResponse,por-jugador,fixtures/nethook/server_7544_0001.bin,1,86,yes,,builder-existente
8035,ClientToGCGetProfileCardStatsResponse,s2c,CMsgClientToGCGetProfileCardStatsResponse,por-jugador,fixtures/nethook/server_8035_0001.bin,1,53,yes,,builder-existente
8079,ClientToGCGetQuestProgressResponse,s2c,CMsgClientToGCGetQuestProgressResponse,por-jugador,fixtures/nethook/server_8079_0001.bin,1,2,yes,,builder-existente
8096,ClientToGCLatestConductScorecard,s2c,CMsgClientToGCLatestConductScorecard,por-jugador,fixtures/nethook/server_8096_0001.bin,1,54,yes,,builder-existente
8136,GCToClientTeamsInfo,s2c,CMsgGCToClientTeamsInfo,por-jugador,fixtures/nethook/server_8136_0001.bin,1,102,yes,,builder-existente
8212,DOTAGetPeriodicResourceResponse,s2c,,por-jugador,fixtures/nethook/server_8212_0001.bin,1,4,yes,,builder-existente
8674,ClientToGCRequestGuildDataResponse,s2c,CMsgClientToGCRequestGuildDataResponse,por-jugador,fixtures/nethook/server_8674_0001.bin,3,2,yes,,builder-existente
8677,ClientToGCRequestGuildMembershipResponse,s2c,CMsgClientToGCRequestGuildMembershipResponse,por-jugador,fixtures/nethook/server_8677_0001.bin,1,4,yes,,builder-existente
8678,GCToClientGuildMembershipUpdated,s2c,CMsgGCToClientGuildMembershipUpdated,por-jugador,fixtures/nethook/server_8678_0001.bin,1,2,yes,,builder-existente
8730,ClientToGCRequestAccountGuildPersonaInfoBatchResponse,s2c,CMsgClientToGCRequestAccountGuildPersonaInfoBatchResponse,por-jugador,fixtures/nethook/server_8730_0001.bin,1,342,yes,,builder-existente
8772,GCToClientOverwatchCasesAvailable,s2c,CMsgGCToClientOverwatchCasesAvailable,por-jugador,fixtures/nethook/server_8772_0001.bin,1,5,yes,,builder-existente
8794,ClientToGCGetCurrentPrivateCoachingSessionResponse,s2c,CMsgClientToGCGetCurrentPrivateCoachingSessionResponse,por-jugador,fixtures/nethook/server_8794_0001.bin,1,2,yes,,builder-existente
8801,ClientToGCGetAvailablePrivateCoachingSessionsSummaryResponse,s2c,CMsgClientToGCGetAvailablePrivateCoachingSessionsSummaryResponse,por-jugador,fixtures/nethook/server_8801_0001.bin,1,6,yes,,builder-existente
8854,ClientToGCGetHeroStickersResponse,s2c,CMsgClientToGCGetHeroStickersResponse,por-jugador,fixtures/nethook/server_8854_0001.bin,1,4,yes,,builder-existente
8880,GCToClientRankResponse,s2c,CMsgGCToClientRankResponse,por-jugador,fixtures/nethook/server_8880_0001.bin,3,15,yes,,builder-existente
8887,ClientToGCShowcaseGetUserDataResponse,s2c,CMsgClientToGCShowcaseGetUserDataResponse,por-jugador,fixtures/nethook/server_8887_0001.bin,2,764,yes,,builder-existente
8904,,s2c,,desconocido,fixtures/nethook/server_8904_0001.bin,1,83,yes,,builder-existente
8945,ClientToGCOverworldGetUserDataResponse,s2c,CMsgClientToGCOverworldGetUserDataResponse,por-jugador,fixtures/nethook/server_8945_0001.bin,1,3056,yes,,builder-existente
9024,ClientToGCMonsterHunterGetUserDataResponse,s2c,CMsgClientToGCMonsterHunterGetUserDataResponse,por-jugador,fixtures/nethook/server_9024_0001.bin,1,6,yes,,builder-existente
9600,,s2c,,desconocido,fixtures/nethook/server_9600_0001.bin,1,5,yes,,builder-existente
9803,,s2c,,desconocido,fixtures/nethook/server_9803_0001.bin,1,11,yes,,builder-existente
15002,ObservedWelcomeAux,s2c,,por-jugador,fixtures/nethook/server_15002_0001.bin,8,283,yes,,builder-existente
